観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在の積雪の深さ(cm),現在の積雪の深さの品質情報,現在の積雪の深さの平年比（%）,日平年値,日平年値の品質情報,日平年値の現象なし情報,極値更新,10年未満での極値更新,昨冬までの観測史上1位の値（cm）,昨冬までの観測史上1位の値の品質情報,昨冬までの観測史上1位の値観測時の年,昨冬までの観測史上1位の値観測時の月,昨冬までの観測史上1位の値観測時の日,昨冬までの2月の1位の値（cm）,昨冬までの2月の1位の値の品質情報,昨冬までの2月の1位の値観測時の年,昨冬までの2月の1位の値観測時の月,昨冬までの2月の1位の値観測時の日,統計開始年
33631,岩手県,湯田（ユダ）,,2026,02,11,04,00,136,8,93,147,8,9,,,279,8,2013,02,25,279,8,2013,02,25,1979
33671,岩手県,遠野（トオノ）,,2026,02,11,04,00,0,8,0,13,8,9,,,50,8,2007,03,13,49,8,1987,02,03,1984
33716,岩手県,北上（キタカミ）,,2026,02,11,04,00,9,8,56,16,8,9,,,68,8,2011,02,01,68,8,2011,02,01,1984
33831,岩手県,祭畤（マツルベ）,,2026,02,11,04,00,73,8,67,109,8,9,,,206,8,1984,02,28,206,8,1984,02,28,1983
33877,岩手県,大船渡（オオフナト）,47512,2026,02,11,04,00,,8,0,1,8,0,,,32,8,1984,02,28,32,8,1984,02,28,1963
33911,岩手県,一関（イチノセキ）,,2026,02,11,04,00,0,8,0,5,8,9,,,72,8,1984,02,27,72,8,1984,02,27,1982
34012,宮城県,駒ノ湯（コマノユ）,,2026,02,11,04,00,65,8,70,93,8,9,,,165,8,2018,02,28,165,8,2018,02,28,1997
34096,宮城県,川渡（カワタビ）,,2026,02,11,04,00,4,8,12,33,8,9,,,116,8,2001,01,05,102,8,2011,02,01,1979
34216,宮城県,古川（フルカワ）,,2026,02,11,04,00,0,8,0,6,8,9,,,92,8,2001,01,05,55,8,2001,02,04,1988
34292,宮城県,石巻（イシノマキ）,47592,2026,02,11,04,00,,8,0,2,8,0,,,43,8,1923,02,17,43,8,1923,02,17,1887
34311,宮城県,新川（ニッカワ）,,2026,02,11,04,00,3,8,23,13,8,9,,,70,8,2014,02,15,70,8,2014,02,15,1984
34392,宮城県,仙台（センダイ）,47590,2026,02,11,04,00,,8,0,2,8,0,,,41,8,1936,02,09,41,8,1936,02,09,1926
34436,宮城県,名取（ナトリ）,,2026,02,11,04,00,0,8,,,1,9,,,12,8,2023,02,11,12,8,2023,02,11,2022
34461,宮城県,白石（シロイシ）,,2026,02,11,04,00,0,8,0,2,8,9,,,57,8,2014,02,15,57,8,2014,02,15,1984
35052,山形県,酒田（サカタ）,47587,2026,02,11,04,00,,8,0,10,8,0,,,96,8,1945,02,27,96,8,1945,02,27,1937
35116,山形県,金山（カネヤマ）,,2026,02,11,04,00,98,8,91,108,8,9,,,224,8,2013,02,23,224,8,2013,02,23,1982
35146,山形県,狩川（カリカワ）,,2026,02,11,04,00,54,8,100,54,8,9,,,162,8,2006,02,12,162,8,2006,02,12,1979
35162,山形県,新庄（シンジョウ）,47520,2026,02,11,04,00,102,8,102,100,8,0,,,236,8,1974,02,13,236,8,1974,02,13,1957
35176,山形県,向町（ムカイマチ）,,2026,02,11,04,00,91,8,88,103,8,9,,,212,8,2011,02,01,212,8,2011,02,01,1983
35201,山形県,櫛引（クシビキ）,,2026,02,11,04,00,43,8,88,49,8,9,,,144,8,2012,02,12,144,8,2012,02,12,1982
35216,山形県,肘折（ヒジオリ）,,2026,02,11,04,00,243,8,90,270,8,9,,,445,8,2018,02,13,445,8,2018,02,13,1982
35231,山形県,尾花沢（オバナザワ）,,2026,02,11,04,00,124,8,107,116,8,9,,,256,8,2018,02,14,256,8,2018,02,14,1979
35361,山形県,大井沢（オオイサワ）,,2026,02,11,04,00,188,8,90,210,8,9,,,348,8,2000,03,01,344,8,2000,02,29,1979
35376,山形県,左沢（アテラザワ）,,2026,02,11,04,00,38,8,75,51,8,9,,,144,8,2012,02,04,144,8,2012,02,04,1982
35426,山形県,山形（ヤマガタ）,47588,2026,02,11,04,00,,8,0,28,8,0,,,113,8,1981,01,08,107,8,1936,02,01,1892
35456,山形県,長井（ナガイ）,,2026,02,11,04,00,52,8,69,75,8,9,,,166,8,2012,02,04,166,8,2012,02,04,1979
35486,山形県,小国（オグニ）,,2026,02,11,04,00,141,8,105,134,8,9,,,279,4,1986,02,26,279,4,1986,02,26,1979
35552,山形県,米沢（ヨネザワ）,,2026,02,11,04,00,66,8,93,71,8,9,,,188,4,1980,02,22,188,4,1980,02,22,1979
36056,福島県,茂庭（モニワ）,,2026,02,11,04,00,15,8,68,22,8,9,,,92,8,2001,01,08,86,8,2022,02,23,1992
36127,福島県,福島（フクシマ）,47595,2026,02,11,04,00,,8,0,3,8,0,,,80,8,1936,02,09,80,8,1936,02,09,1901
36251,福島県,西会津（ニシアイヅ）,,2026,02,11,04,00,51,8,76,67,8,9,,,213,4,1981,02,05,213,4,1981,02,05,1980
36276,福島県,猪苗代（イナワシロ）,,2026,02,11,04,00,33,8,55,60,8,9,,,211,4,1981,02,05,211,4,1981,02,05,1979
36342,福島県,金山（カネヤマ）,,2026,02,11,04,00,133,8,111,120,8,9,,,235,8,2025,02,07,235,8,2025,02,07,2007
36361,福島県,若松（ワカマツ）,47570,2026,02,11,04,00,12,8,41,29,8,0,,,121,8,2025,02,07,121,8,2025,02,07,1953
36426,福島県,只見（タダミ）,,2026,02,11,04,00,174,8,98,177,8,9,,,341,8,2013,02,25,341,8,2013,02,25,1979
36536,福島県,南郷（ナンゴウ）,,2026,02,11,04,00,93,8,74,126,8,9,,,281,4,1981,02,11,281,4,1981,02,11,1980
36562,福島県,湯本（ユモト）,,2026,02,11,04,00,32,8,52,62,8,9,,,137,8,2001,03,06,130,8,2014,02,15,1985
36581,福島県,玉川（タマカワ）,,2026,02,11,04,00,0,8,,,1,9,,,22,8,2023,02,10,22,8,2023,02,10,2021
36641,福島県,田島（タジマ）,,2026,02,11,04,00,25,8,44,57,8,9,,,143,8,1996,02,06,143,8,1996,02,06,1982
36667,福島県,白河（シラカワ）,47597,2026,02,11,04,00,,8,0,4,8,0,,,76,8,2014,02,15,76,8,2014,02,15,1940
36716,福島県,桧枝岐（ヒノエマタ）,,2026,02,11,04,00,145,8,87,167,8,9,,,339,8,2015,02,15,339,8,2015,02,15,1982
40201,茨城県,水戸（ミト）,47629,2026,02,11,04,00,,8,0,1,8,0,,,32,8,1945,02,26,32,8,1945,02,26,1897
40336,茨城県,つくば（ツクバ）(館野（タテノ）),47646,2026,02,11,04,00,,8,0,1,8,0,,,27,8,1936,02,05,27,8,1936,02,05,1921
41011,栃木県,那須高原（ナスコウゲン）,,2026,02,11,04,00,8,8,50,16,8,9,,,88,8,2014,02,15,88,8,2014,02,15,1989
41116,栃木県,土呂部（ドロブ）,,2026,02,11,04,00,30,8,60,50,8,9,,,129,8,2014,02,15,129,8,2014,02,15,1989
41166,栃木県,奥日光（オクニッコウ）(日光（ニツコウ）),47690,2026,02,11,04,00,,8,0,16,8,0,,,125,8,1984,03,21,101,8,1984,02,29,1944
41277,栃木県,宇都宮（ウツノミヤ）,47615,2026,02,11,04,00,,8,0,1,8,0,,,32,8,2014,02,15,32,8,2014,02,15,1890
42046,群馬県,藤原（フジワラ）,,2026,02,11,04,00,152,8,100,152,8,9,,,301,8,2006,01,26,293,8,2015,02,15,1989
42091,群馬県,みなかみ（ミナカミ）,,2026,02,11,04,00,52,8,50,103,8,9,,,275,8,2006,01,28,257,8,2006,02,09,1989
42121,群馬県,草津（クサツ）,,2026,02,11,04,00,51,8,76,67,8,9,,,162,8,2014,02,16,162,8,2014,02,16,1989
42251,群馬県,前橋（マエバシ）,47624,2026,02,11,04,00,,8,0,1,8,0,,,73,8,2014,02,15,73,8,2014,02,15,1896
43056,埼玉県,熊谷（クマガヤ）,47626,2026,02,11,04,00,,8,0,1,8,0,,,62,8,2014,02,15,62,8,2014,02,15,1896
43156,埼玉県,秩父（チチブ）,47641,2026,02,11,04,00,,8,0,2,8,0,,,98,8,2014,02,15,98,8,2014,02,15,1926
43241,埼玉県,さいたま（サイタマ）,,2026,02,11,04,00,0,8,,,1,9,,,8,8,2024,02,05,8,8,2024,02,05,2021
44132,東京都,東京（トウキョウ）,47662,2026,02,11,04,00,,8,0,1,8,0,,,46,8,1883,02,08,46,8,1883,02,08,1875
45148,千葉県,銚子（チョウシ）,47648,2026,02,11,04,00,,8,,,8,1,,,17,8,1936,03,02,17,8,1893,02,12,1887
45212,千葉県,千葉（チバ）,47682,2026,02,11,04,00,,8,0,1,8,0,,,33,8,2014,02,09,33,8,2014,02,09,1966
46106,神奈川県,横浜（ヨコハマ）,47670,2026,02,11,04,00,,8,0,1,8,0,,,45,8,1945,02,26,45,8,1945,02,26,1896
48031,長野県,野沢温泉（ノザワオンセン）,,2026,02,11,04,00,131,8,84,156,8,9,,,353,8,1984,03,22,344,8,1984,02,10,1980
48061,長野県,信濃町（シナノマチ）,,2026,02,11,04,00,66,8,81,81,8,9,,,176,8,2015,02,20,176,8,2015,02,20,1981
48066,長野県,飯山（イイヤマ）,,2026,02,11,04,00,91,8,85,107,8,9,,,257,8,1984,02,09,257,8,1984,02,09,1983
48097,長野県,小谷（オタリ）,,2026,02,11,04,00,119,8,100,119,8,9,,,251,8,1984,02,18,251,8,1984,02,18,1983
48141,長野県,白馬（ハクバ）,,2026,02,11,04,00,24,8,35,69,8,9,,,187,4,1980,12,28,168,4,1981,02,04,1980
48156,長野県,長野（ナガノ）,47610,2026,02,11,04,00,,8,0,8,8,0,,,80,8,1946,12,11,71,8,1945,02,26,1892
48191,長野県,大町（オオマチ）,,2026,02,11,04,00,0,8,0,33,8,9,,,117,8,1984,02,28,117,8,1984,02,28,1981
48216,長野県,菅平（スガダイラ）,,2026,02,11,04,00,62,8,81,77,8,9,,,152,8,2014,02,16,152,8,2014,02,16,1981
48331,長野県,軽井沢（カルイザワ）,47622,2026,02,11,04,00,,8,0,14,8,0,,,99,8,2014,02,15,99,8,2014,02,15,1925
48361,長野県,松本（マツモト）,47618,2026,02,11,04,00,,8,0,4,8,0,,,78,8,1946,03,03,75,8,2014,02,15,1898
48491,長野県,諏訪（スワ）,47620,2026,02,11,04,00,,8,0,5,8,0,,,69,8,2001,01,27,61,8,1952,02,08,1945
48531,長野県,開田高原（カイダコウゲン）,,2026,02,11,04,00,37,8,67,55,8,9,,,115,8,2014,02,15,115,8,2014,02,15,1991
48767,長野県,飯田（イイダ）,47637,2026,02,11,04,00,,8,0,3,8,0,,,81,8,2014,02,15,81,8,2014,02,15,1897
49142,山梨県,甲府（コウフ）,47638,2026,02,11,04,00,,8,0,2,8,0,,,114,8,2014,02,15,114,8,2014,02,15,1894
49251,山梨県,河口湖（カワグチコ）,47640,2026,02,11,04,00,,8,0,9,8,0,,,143,8,2014,02,15,143,8,2014,02,15,1933
50331,静岡県,静岡（シズオカ）,47656,2026,02,11,04,00,,8,,,8,1,,,10,8,1945,02,25,10,8,1945,02,25,1940
51106,愛知県,名古屋（ナゴヤ）,47636,2026,02,11,04,00,,8,,0,8,0,,,49,8,1945,12,19,39,8,1893,02,13,1890
52041,岐阜県,河合（カワイ）,,2026,02,11,04,00,71,8,71,100,8,9,,,279,4,1981,01,13,260,4,1981,02,11,1980
52051,岐阜県,神岡（カミオカ）,,2026,02,11,04,00,35,8,56,62,8,9,,,166,8,2005,12,24,150,8,1984,02,29,1983
52081,岐阜県,白川（シラカワ）,,2026,02,11,04,00,87,8,69,127,8,9,,,297,8,2006,02,09,297,8,2006,02,09,1983
52146,岐阜県,高山（タカヤマ）,47617,2026,02,11,04,00,2,8,8,24,8,0,,,128,8,1981,01,08,118,8,1981,02,27,1899
52221,岐阜県,長滝（ナガタキ）,,2026,02,11,04,00,51,8,84,61,8,9,,,219,8,2005,12,24,186,8,2025,02,08,1981
52381,岐阜県,樽見（タルミ）,,2026,02,11,04,00,19,8,73,26,8,9,,,171,8,2005,12,24,129,8,1991,02,25,1980
52571,岐阜県,関ケ原（セキガハラ）,,2026,02,11,04,00,0,8,0,5,8,9,,,91,8,2022,02,06,91,8,2022,02,06,1997
52586,岐阜県,岐阜（ギフ）,47632,2026,02,11,04,00,,8,0,1,8,0,,,58,8,1936,02,01,58,8,1936,02,01,1891
53133,三重県,津（ツ）,47651,2026,02,11,04,00,,8,,0,8,0,,,26,8,1951,02,14,26,8,1951,02,14,1889
54157,新潟県,相川（アイカワ）,47602,2026,02,11,04,00,,8,0,2,8,0,,,65,8,1936,02,06,65,8,1936,02,06,1911
54191,新潟県,下関（シモセキ）,,2026,02,11,04,00,113,8,185,61,8,9,,,178,8,2012,02,04,178,8,2012,02,04,1980
54232,新潟県,新潟（ニイガタ）,47604,2026,02,11,04,00,,8,0,8,8,0,,,120,8,1961,01,18,100,8,1961,02,03,1890
54236,新潟県,松浜（マツハマ）,,2026,02,11,04,00,3,8,,,1,9,,,57,8,2022,12,20,54,8,2025,02,07,2021
54296,新潟県,新津（ニイツ）,,2026,02,11,04,00,8,8,50,16,8,9,,,187,8,1985,01,06,136,8,1985,02,01,1982
54421,新潟県,津川（ツガワ）,,2026,02,11,04,00,98,8,129,76,8,9,,,194,8,2025,02,08,194,8,2025,02,08,1980
54501,新潟県,長岡（ナガオカ）,,2026,02,11,04,00,94,8,177,53,8,9,,,212,4,1981,01,21,206,8,1986,02,09,1980
54541,新潟県,柏崎（カシワザキ）,,2026,02,11,04,00,46,8,230,20,8,9,,,171,8,1984,03,08,162,8,1986,02,10,1980
54566,新潟県,守門（スモン）,,2026,02,11,04,00,253,8,125,203,8,9,,,463,4,1981,02,09,463,4,1981,02,09,1980
54616,新潟県,小出（コイデ）,,2026,02,11,04,00,182,8,128,142,8,9,,,363,4,1981,02,28,363,4,1981,02,28,1980
54651,新潟県,高田（タカダ）,47612,2026,02,11,04,00,147,8,223,66,8,0,,,377,8,1945,02,26,377,8,1945,02,26,1922
54661,新潟県,安塚（ヤスヅカ）,,2026,02,11,04,00,218,8,170,128,8,9,,,350,8,1984,03,08,337,8,1984,02,08,1980
54676,新潟県,十日町（トオカマチ）,,2026,02,11,04,00,234,8,141,166,8,9,,,391,4,1981,02,28,391,4,1981,02,28,1980
54721,新潟県,能生（ノウ）,,2026,02,11,04,00,118,8,190,62,8,9,,,309,8,1985,01,30,306,8,1986,02,04,1980
54816,新潟県,関山（セキヤマ）,,2026,02,11,04,00,138,8,92,150,8,9,,,362,8,1984,03,01,347,8,2012,02,03,1980
54836,新潟県,津南（ツナン）,,2026,02,11,04,00,208,8,96,217,8,9,,,419,8,2022,02,24,419,8,2022,02,24,1989
54841,新潟県,湯沢（ユザワ）,,2026,02,11,04,00,142,8,92,154,8,9,,,358,8,2006,01,28,352,8,1984,02,09,1982
55022,富山県,朝日（アサヒ）,,2026,02,11,04,00,51,8,464,11,8,9,,,125,4,1981,01,17,114,8,1986,02,06,1980
55041,富山県,氷見（ヒミ）,,2026,02,11,04,00,13,8,108,12,8,9,,,112,8,2011,01,31,105,8,2011,02,01,1989
55056,富山県,魚津（ウオヅ）,,2026,02,11,04,00,26,8,137,19,8,9,,,166,4,1981,01,16,148,8,1986,02,06,1980
55091,富山県,伏木（フシキ）,47606,2026,02,11,04,00,16,8,107,15,8,0,,,225,8,1963,01,27,178,8,1963,02,01,1891
55102,富山県,富山（トヤマ）,47607,2026,02,11,04,00,28,8,187,15,8,0,,,208,8,1940,01,30,186,8,1940,02,01,1939
55141,富山県,砺波（トナミ）,,2026,02,11,04,00,43,8,187,23,8,9,,,192,4,1981,01,13,148,4,1981,02,04,1980
55151,富山県,秋ヶ島（アキガシマ）,,2026,02,11,04,00,33,8,,,1,9,,,106,8,2021,01,11,76,8,2018,02,13,2017
55267,富山県,猪谷（イノタニ）,,2026,02,11,04,00,66,8,96,69,8,9,,,262,8,1984,02,10,262,8,1984,02,10,1980
56036,石川県,珠洲（スズ）,,2026,02,11,04,00,16,8,145,11,8,9,,,159,8,1985,01,30,141,8,1984,02,29,1980
56052,石川県,輪島（ワジマ）,47600,2026,02,11,04,00,,8,0,5,8,0,,,110,8,1945,01,18,79,8,1933,02,01,1929
56146,石川県,七尾（ナナオ）,,2026,02,11,04,00,0,8,0,8,8,9,,,74,8,2011,01,31,71,8,2011,02,01,1980
56227,石川県,金沢（カナザワ）,47605,2026,02,11,04,00,18,8,300,6,8,0,,,181,8,1963,01,27,167,8,1927,02,12,1882
56286,石川県,白山河内（ハクサンカワチ）,,2026,02,11,04,00,44,8,81,54,8,9,,,308,4,1981,01,17,272,4,1981,02,27,1980
56301,石川県,加賀中津原（カガナカツハラ）,,2026,02,11,04,00,31,8,66,47,8,9,,,246,4,1981,01,17,220,8,1986,02,28,1980
57066,福井県,福井（フクイ）,47616,2026,02,11,04,00,29,8,207,14,8,0,,,213,8,1963,01,31,209,8,1927,02,12,1897
57106,福井県,武生（タケフ）,,2026,02,11,04,00,33,8,206,16,8,9,,,130,8,2018,02,13,130,8,2018,02,13,1989
57121,福井県,大野（オオノ）,,2026,02,11,04,00,57,8,121,47,8,9,,,262,8,1981,01,15,224,4,1981,02,27,1980
57176,福井県,九頭竜（クズリュウ）,,2026,02,11,04,00,98,8,90,109,8,9,,,301,8,2018,02,13,301,8,2018,02,13,1982
57206,福井県,今庄（イマジョウ）,,2026,02,11,04,00,73,8,146,50,8,9,,,244,8,2011,01,31,239,8,2011,02,01,1980
57248,福井県,敦賀（ツルガ）,47631,2026,02,11,04,00,10,8,143,7,8,0,,,196,8,1981,01,15,154,8,1963,02,01,1897
57317,福井県,小浜（オバマ）,,2026,02,11,04,00,7,8,78,9,8,9,,,135,8,1984,02,09,135,8,1984,02,09,1980
60026,滋賀県,柳ケ瀬（ヤナガセ）,,2026,02,11,04,00,81,8,131,62,8,9,,,249,8,2011,01,31,247,8,1984,02,09,1981
60051,滋賀県,今津（イマヅ）,,2026,02,11,04,00,7,8,64,11,8,9,,,105,8,1984,02,10,105,8,1984,02,10,1981
60102,滋賀県,米原（マイバラ）,,2026,02,11,04,00,0,8,0,8,8,9,,,91,8,2022,02,06,91,8,2022,02,06,2001
60131,滋賀県,彦根（ヒコネ）,47761,2026,02,11,04,00,,8,0,2,8,0,,,93,8,1918,01,09,85,8,1936,02,03,1893
60216,滋賀県,大津（オオツ）,,2026,02,11,04,00,0,8,,,1,9,,,12,8,2023,01,25,0,8,2025,02,28,2022
61031,京都府,峰山（ミネヤマ）,,2026,02,11,04,00,40,8,286,14,8,9,,,110,8,2011,01,31,102,8,1984,02,08,1981
61111,京都府,舞鶴（マイヅル）,47750,2026,02,11,04,00,10,8,167,6,8,0,,,87,8,2012,02,02,87,8,2012,02,02,1947
61206,京都府,美山（ミヤマ）,,2026,02,11,04,00,14,8,233,6,8,9,,,74,4,1982,01,30,73,8,1984,02,08,1981
61286,京都府,京都（キョウト）,47759,2026,02,11,04,00,,8,,0,8,0,,,41,8,1954,01,26,32,8,1936,02,05,1886
62078,大阪府,大阪（オオサカ）,47772,2026,02,11,04,00,,8,,0,8,0,,,18,8,1907,02,11,18,8,1907,02,11,1901
63016,兵庫県,香住（カスミ）,,2026,02,11,04,00,29,8,264,11,8,9,,,140,8,1985,01,14,101,8,2018,02,13,1981
63051,兵庫県,豊岡（トヨオカ）,47747,2026,02,11,04,00,47,8,336,14,8,0,,,186,8,1936,02,03,186,8,1936,02,03,1918
63071,兵庫県,兎和野高原（ウワノコウゲン）,,2026,02,11,04,00,127,8,151,84,8,9,,,208,8,2022,02,24,208,8,2022,02,24,2005
63121,兵庫県,和田山（ワダヤマ）,,2026,02,11,04,00,13,8,325,4,8,9,,,80,8,2000,02,17,80,8,2000,02,17,1981
63518,兵庫県,神戸（コウベ）,47770,2026,02,11,04,00,,8,,,8,1,,,17,8,1945,02,25,17,8,1945,02,25,1897
64036,奈良県,奈良（ナラ）,47780,2026,02,11,04,00,,8,,0,8,0,,,21,8,1990,02,01,21,8,1990,02,01,1953
65042,和歌山県,和歌山（ワカヤマ）,47777,2026,02,11,04,00,,8,,0,8,0,,,40,8,1883,02,08,40,8,1883,02,08,1880
66046,岡山県,上長田（カミナガタ）,,2026,02,11,04,00,91,8,212,43,8,9,,,137,8,2011,01,17,135,8,2017,02,12,1990
66091,岡山県,千屋（チヤ）,,2026,02,11,04,00,25,8,119,21,8,9,,,97,8,2005,12,24,95,8,1994,02,12,1990
66136,岡山県,今岡（イマオカ）,,2026,02,11,04,00,7,8,233,3,8,9,,,64,8,1995,12,27,37,8,1996,02,06,1991
66186,岡山県,津山（ツヤマ）,47756,2026,02,11,04,00,,8,0,1,8,0,,,46,8,2023,01,25,29,8,1999,02,04,1943
66408,岡山県,岡山（オカヤマ）,47768,2026,02,11,04,00,,8,,0,8,0,,,26,8,1945,02,26,26,8,1945,02,26,1891
67016,広島県,高野（タカノ）,,2026,02,11,04,00,52,8,106,49,8,9,,,166,8,2005,12,24,146,8,2017,02,12,1990
67136,広島県,八幡（ヤワタ）,,2026,02,11,04,00,43,8,58,74,8,9,,,207,8,2011,02,13,207,8,2011,02,13,1990
67151,広島県,大朝（オオアサ）,,2026,02,11,04,00,9,8,60,15,8,9,,,104,8,2011,01,17,90,8,2017,02,12,1990
67437,広島県,広島（ヒロシマ）,47765,2026,02,11,04,00,,8,,0,8,0,,,31,8,1893,01,05,29,8,1945,02,25,1883
68022,島根県,西郷（サイゴウ）,47740,2026,02,11,04,00,,8,0,3,8,0,,,107,8,1962,01,27,93,8,1963,02,01,1939
68121,島根県,斐川（ヒカワ）,,2026,02,11,04,00,3,8,,,1,9,,,23,8,2023,01,28,21,8,2021,02,18,2020
68132,島根県,松江（マツエ）,47741,2026,02,11,04,00,14,8,700,2,8,0,,,100,8,1971,02,04,100,8,1971,02,04,1940
68276,島根県,横田（ヨコタ）,,2026,02,11,04,00,31,8,148,21,8,9,,,139,8,1984,02,09,139,8,1984,02,09,1981
68306,島根県,赤名（アカナ）,,2026,02,11,04,00,31,8,97,32,8,9,,,152,8,2011,01,31,131,8,2011,02,01,1981
68401,島根県,瑞穂（ミズホ）,,2026,02,11,04,00,14,8,117,12,8,9,,,102,8,2016,01,24,94,8,2018,02,13,1984
68431,島根県,弥栄（ヤサカ）,,2026,02,11,04,00,4,8,40,10,8,9,,,91,8,1994,02,12,91,8,1994,02,12,1984
69006,鳥取県,境（サカイ）,47742,2026,02,11,04,00,18,8,600,3,8,0,,,94,8,1963,02,02,94,8,1963,02,02,1883
69076,鳥取県,米子（ヨナゴ）,47744,2026,02,11,04,00,14,8,467,3,8,0,,,89,8,2011,01,01,80,8,1963,02,04,1940
69101,鳥取県,倉吉（クラヨシ）,,2026,02,11,04,00,25,8,625,4,8,9,,,70,4,1990,01,26,61,8,2017,02,12,1981
69122,鳥取県,鳥取（トットリ）,47746,2026,02,11,04,00,22,8,314,7,8,0,,,129,8,1947,02,22,129,8,1947,02,22,1943
69152,鳥取県,大山（ダイセン）,,2026,02,11,04,00,196,8,144,136,8,9,,,302,8,2012,02,19,302,8,2012,02,19,1981
69246,鳥取県,智頭（チズ）,,2026,02,11,04,00,42,8,300,14,8,9,,,135,8,1984,02,10,135,8,1984,02,10,1981
71106,徳島県,徳島（トクシマ）,47895,2026,02,11,04,00,,8,,0,8,0,,,42,8,1907,02,11,42,8,1907,02,11,1891
72086,香川県,高松（タカマツ）,47891,2026,02,11,04,00,,8,,0,8,0,,,19,8,1984,01,31,15,8,1953,02,21,1941
73166,愛媛県,松山（マツヤマ）,47887,2026,02,11,04,00,,8,,,8,1,,,34,8,1907,02,11,34,8,1907,02,11,1890
74182,高知県,高知（コウチ）,47893,2026,02,11,04,00,,8,,,8,1,,,14,8,2022,12,23,9,8,1963,02,27,1912
81286,山口県,山口（ヤマグチ）,47784,2026,02,11,04,00,,8,0,1,8,0,,,37,8,1996,02,10,37,8,1996,02,10,1966
81428,山口県,下関（シモノセキ）,47762,2026,02,11,04,00,,8,,0,8,0,,,39,8,1900,01,26,28,8,1907,02,11,1883
82182,福岡県,福岡（フクオカ）,47807,2026,02,11,04,00,,8,,0,8,0,,,30,8,1917,12,30,21,8,1917,02,05,1894
83216,大分県,大分（オオイタ）,47815,2026,02,11,04,00,,8,,,8,1,,,15,8,1997,01,22,15,8,1945,02,22,1916
84496,長崎県,長崎（ナガサキ）,47817,2026,02,11,04,00,,8,,0,8,0,,,17,8,2016,01,24,13,8,1945,02,07,1893
85142,佐賀県,佐賀（サガ）,47813,2026,02,11,04,00,,8,,0,8,0,,,21,8,1959,01,17,19,8,1907,02,10,1890
86141,熊本県,熊本（クマモト）,47819,2026,02,11,04,00,,8,,,8,1,,,13,8,1945,02,07,13,8,1945,02,07,1890
86157,熊本県,南阿蘇（ミナミアソ）,,2026,02,11,04,00,0,8,,,1,9,,,9,8,2018,02,01,9,8,2018,02,01,2015
87376,宮崎県,宮崎（ミヤザキ）,47830,2026,02,11,04,00,,8,,,8,1,,,3,8,1945,01,23,2,8,1987,02,03,1886
88317,鹿児島県,鹿児島（カゴシマ）,47827,2026,02,11,04,00,,8,,0,8,0,,,29,8,1959,01,17,25,8,1901,02,13,1892
